Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
IfThenElse/ExMemory 100/ExMemory 100,1.0620710694512993e-6,1.020487236805184e-6,1.1071494420465071e-6,1.4887512473845798e-7,1.1019283943356444e-7,2.0457318722237567e-7
IfThenElse/ExMemory 100/ExMemory 500,1.0860556991878535e-6,1.044104714128469e-6,1.1690033894186541e-6,1.7435098936564277e-7,8.366107970676673e-8,2.9957941445402854e-7
IfThenElse/ExMemory 100/ExMemory 1000,9.379613863878489e-7,9.152017600868867e-7,9.721081294492063e-7,9.911996775419949e-8,8.981451224939997e-8,1.0801028850514869e-7
IfThenElse/ExMemory 100/ExMemory 2000,9.367879286443436e-7,9.081543887388234e-7,9.777744230557621e-7,1.1744431280848993e-7,8.830298559166892e-8,1.5006138416413884e-7
IfThenElse/ExMemory 100/ExMemory 5000,1.0265814267938772e-6,9.859875224608357e-7,1.0681551657722123e-6,1.2948783831294423e-7,1.0852405733078509e-7,1.5454307938105466e-7
IfThenElse/ExMemory 100/ExMemory 10000,1.1255256945794051e-6,1.0891055812752191e-6,1.1691346584900813e-6,1.3382638078917332e-7,1.0318783538260155e-7,1.6119954887294299e-7
IfThenElse/ExMemory 100/ExMemory 20000,9.649039044145627e-7,9.263472144208561e-7,9.996555987702054e-7,1.1191680877930982e-7,1.0268560496713398e-7,1.386701128700824e-7
IfThenElse/ExMemory 500/ExMemory 100,1.0075566498596796e-6,9.74814914477848e-7,1.0610521486356215e-6,1.4765102715023278e-7,8.789260632281292e-8,2.3611133705593302e-7
IfThenElse/ExMemory 500/ExMemory 500,9.972942208078437e-7,9.690615272284453e-7,1.0429735490718874e-6,1.2852165874951494e-7,9.346321033177537e-8,1.7554809854431588e-7
IfThenElse/ExMemory 500/ExMemory 1000,9.6815636932093e-7,9.404230153479073e-7,1.0230905523858822e-6,1.3791690286822745e-7,7.047597594810914e-8,2.3358334455798934e-7
IfThenElse/ExMemory 500/ExMemory 2000,9.555987699514648e-7,9.346258184148377e-7,9.7998297737166e-7,8.835752643098148e-8,7.673986901561737e-8,1.0147957215976847e-7
IfThenElse/ExMemory 500/ExMemory 5000,1.0601197434400228e-6,1.0067408590788792e-6,1.142235575636757e-6,2.2491955591465808e-7,1.459015496826211e-7,3.6998437369972107e-7
IfThenElse/ExMemory 500/ExMemory 10000,1.0340361700028184e-6,1.004388172284603e-6,1.0768881355850567e-6,1.1007269887618083e-7,7.582170738419526e-8,1.720014840232865e-7
IfThenElse/ExMemory 500/ExMemory 20000,1.0379299209588908e-6,9.956608072355868e-7,1.1639026000397187e-6,2.0527714961062531e-7,1.0949806457812643e-7,4.068177608834861e-7
IfThenElse/ExMemory 1000/ExMemory 100,1.0532881189577739e-6,1.0351257164699785e-6,1.084681770569983e-6,7.169279043614201e-8,4.60451145859506e-8,1.1874246014205352e-7
IfThenElse/ExMemory 1000/ExMemory 500,1.1510107829559923e-6,1.064222498426586e-6,1.4804598636045397e-6,5.280427971676094e-7,1.433541872276432e-7,1.08983630805027e-6
IfThenElse/ExMemory 1000/ExMemory 1000,1.0408741806089502e-6,1.0047008086990864e-6,1.0896465707528165e-6,1.3216649468129355e-7,9.572559582489548e-8,2.021030268332114e-7
IfThenElse/ExMemory 1000/ExMemory 2000,9.91774166755439e-7,9.636033405150437e-7,1.020822315733513e-6,1.0080410766616233e-7,9.038738524964125e-8,1.1273354615463529e-7
IfThenElse/ExMemory 1000/ExMemory 5000,1.031974686262273e-6,9.92696096425007e-7,1.075062761799532e-6,1.4276804017477462e-7,1.0922152605713518e-7,2.0695874850138567e-7
IfThenElse/ExMemory 1000/ExMemory 10000,1.0942576592800734e-6,1.0661011263495664e-6,1.1333871495414841e-6,1.0781887534164301e-7,8.619371360199603e-8,1.3160876116590054e-7
IfThenElse/ExMemory 1000/ExMemory 20000,1.0121279787991898e-6,9.75472050040191e-7,1.088125722200594e-6,1.7124804345729186e-7,1.1285610279018452e-7,2.960720274842234e-7
IfThenElse/ExMemory 2000/ExMemory 100,9.894151512821225e-7,9.40819188097571e-7,1.0361003715551436e-6,1.3858119097505524e-7,1.1481341217939224e-7,1.7479800593227217e-7
